,Time,Temperature,Salinity,Oxygen,PH
0,2012-05-05,,,249.50366842105262,
1,2012-05-06,,,245.55143888888892,
2,2012-05-07,,,246.48612452830196,
3,2012-05-08,,,245.99285624999996,
4,2012-05-09,,,243.42469199999988,
5,2012-05-10,,,240.82947169811314,
6,2012-05-11,,,239.29105833333332,
7,2012-05-12,,,238.49297307692314,
8,2012-05-13,,,237.39794727272735,
9,2012-05-14,,,237.0808,
10,2012-05-15,,,235.3489551724137,
11,2012-05-16,,,237.79272727272723,
12,2012-05-17,,,237.89023623188422,
13,2012-05-18,,,,
14,2012-05-19,,,238.95474680851066,
15,2012-05-20,,,240.53875714285724,
16,2012-05-21,,,239.87086493506513,
17,2012-05-22,,,246.25097928571435,
18,2012-05-23,,,245.16029791666662,
19,2012-05-24,,,243.88267777777764,
20,2012-05-25,,,241.35566805555558,
21,2012-05-26,,,239.2367979166667,
22,2012-05-27,,,239.3301430555555,
23,2012-05-28,,,236.2679916666668,
24,2012-05-29,,,232.7792458333332,
25,2012-05-30,,,230.93934305555558,
26,2012-05-31,,,231.41804236111102,
27,2012-06-01,,,234.83948888888887,
28,2012-06-02,,,235.19661319444447,
29,2012-06-03,,,229.05385555555546,
30,2012-06-04,,,224.94311180555553,
31,2012-06-05,,,221.79411250000007,
32,2012-06-06,,,220.26574861111123,
33,2012-06-07,,,222.95342430555533,
34,2012-06-08,,,221.82777569444463,
35,2012-06-09,,,223.83048819444434,
36,2012-06-10,,,220.04974999999993,
37,2012-06-11,,,219.77294791666677,
38,2012-06-12,,,221.34255763888893,
39,2012-06-13,,,219.66548541666646,
40,2012-06-14,,,219.6622187500002,
41,2012-06-15,,,219.759934722222,
42,2012-06-16,,,220.38733680555555,
43,2012-06-17,,,218.6331833333335,
44,2012-06-18,,,221.98624861111134,
45,2012-06-19,,,223.44189166666695,
46,2012-06-20,,,219.7002208333334,
47,2012-06-21,,,220.41012638888878,
48,2012-06-22,,,218.56480555555578,
49,2012-06-23,,,219.88800624999988,
50,2012-06-24,,,217.27524166666677,
51,2012-06-25,,,218.79925555555567,
52,2012-06-26,,,219.64594861111112,
53,2012-06-27,,,217.6225986111112,
54,2012-06-28,,,214.7949145833333,
55,2012-06-29,,,210.98159305555558,
56,2012-06-30,,,212.91701041666678,
57,2012-07-01,,,214.73411895833334,
58,2012-07-02,,,215.79572437500008,
59,2012-07-03,,,215.39735097222226,
60,2012-07-04,,,213.4304501388889,
61,2012-07-05,,,215.46682208333334,
62,2012-07-06,,,214.61254451388893,
63,2012-07-07,,,210.80683020833337,
64,2012-07-08,,,213.66600062500007,
65,2012-07-09,,,212.58159999999992,
